Fecha,SP500,NVDA,MSFT,WMT,Small Caps,Mexico,GMEXICO
29/11/2022,-0.009240315,-0.015449097,-0.010035249,-0.007626652,-0.003429193,-0.017758951,0.04389153
12/01/2022,-0.003057812,0.004209073,0.008376637,-0.007298047,-0.01249918,0.016415217,0.043605712
28/07/2022,-0.000210984,0.000185065,0.021746389,0.018263302,0.008860133,0.026139768,0.043134772
11/08/2022,-0.007251257,-0.014048022,-0.011834444,0.00084644,-0.003374588,0.012267541,0.042918745
04/01/2023,-0.000546224,0.024874844,-0.046534554,-0.000692852,0.009510182,0.022994155,0.042872627
03/03/2020,-0.015661681,-0.024313337,-0.046634455,-0.02349321,-0.01780233,0.007334707,0.042823794
09/01/2023,-0.001337107,0.055987963,0.010002962,-0.012232439,0.005172521,0.010596381,0.042387778
06/04/2020,0.043209773,0.082533174,0.058244956,0.040199762,0.062017608,0.039661902,0.042206359
08/09/2022,0.000897897,0.008757518,0.00101338,0.004419105,0.010384913,0.004098808,0.042130305
12/08/2025,0.003738872,-0.001251913,0.011476366,-0.005726006,0.023680476,0.005310505,0.041916622
05/06/2020,-0.002847895,-0.008960529,0.007335138,-0.020307063,0.013520535,0.028134182,0.041858465
15/12/2020,-0.021132934,-0.031761879,-0.017930447,-0.018083634,0.004250311,-0.000228807,0.041680569
26/09/2024,0.001414601,0.001550341,-0.00251577,-0.019011812,0.00410517,0.012562273,0.04147267
10/04/2023,-0.012082028,0.011221596,0.010800314,-0.001207528,0.005705485,0.01118163,0.041433662
01/03/2023,-0.029156894,-0.042663675,-0.024250854,-0.025570119,-0.007430475,0.012270093,0.041284794
22/09/2016,-0.003816235,-0.009493542,-0.005315827,-0.005245101,0.007428233,0.021261721,0.041258717
18/12/2019,0.005344759,0.004038322,-0.000275937,-0.009984444,0.003111267,0.015182252,0.041135986
18/05/2020,0.019398285,0.014703049,0.001865548,0.005920637,0.040065633,0.039543867,0.04090467
21/03/2023,-0.006808502,-0.01886273,-0.036226585,-0.008509129,0.014041106,0.013621314,0.04087729
14/02/2019,-0.018415921,-0.018844381,-0.007998888,-0.002934527,-0.00503221,0.010357908,0.04063866
07/07/2022,-0.004743197,0.031388388,0.000966511,-0.005709938,0.022347204,-0.00736148,0.040610436
05/01/2023,-0.009805634,-0.033561833,-0.032930002,-0.006257835,-0.014818727,0.011893104,0.040457946
10/01/2017,0.038048433,0.031682004,0.019183309,0.012492175,0.027636676,0.007441488,0.040340455
10/10/2019,-0.006972028,-0.001253426,-5.42E-05,-0.000553686,-0.003915398,0.010311786,0.040312774
02/02/2021,-0.013096923,-0.002502214,0.008909088,-0.021128656,0.022526902,0.020970926,0.040166042
25/11/2016,0.001815651,0.001815651,0.003965656,0.007445733,0.006428679,-0.00066174,0.040109997
24/02/2022,0.042592092,0.08963841,0.065285118,0.011596829,0.055389668,0.002529923,0.04008151
